title,link,Processed
"Cấm biển, hủy hơn 300 chuyến bay để tránh bão",https://vnexpress.net/truc-tiep-dien-bien-sieu-bao-yagi-4789657.html,0
"Tàu cao tốc đi Phú Quốc, Côn Đảo dừng chạy",https://vnexpress.net/tau-cao-toc-di-phu-quoc-con-dao-dung-chay-4789600.html,0
"Đêm nay siêu bão Yagi vào vịnh Bắc Bộ, gây mưa lớn và giông lốc",https://vnexpress.net/dem-nay-sieu-bao-yagi-vao-vinh-bac-bo-gay-mua-lon-va-giong-loc-4789564.html,0
Đề xuất người nổi tiếng chỉ được quảng cáo sản phẩm đã trực tiếp sử dụng,https://vnexpress.net/de-xuat-nguoi-noi-tieng-chi-duoc-quang-cao-san-pham-da-truc-tiep-su-dung-4789530.html,0
Di dời hơn 13.000 hộ dân trước bão,https://vnexpress.net/di-doi-hon-13-000-ho-dan-truoc-bao-4789503.html,0
Đóng cửa 4 sân bay để tránh bão Yagi,https://vnexpress.net/dong-cua-4-san-bay-de-tranh-bao-yagi-4789521.html,0
Bộ Chính trị phân công người điều hành Tỉnh ủy Khánh Hòa,https://vnexpress.net/bo-chinh-tri-phan-cong-nguoi-dieu-hanh-tinh-uy-khanh-hoa-4789502.html,0
Bão Yagi dự kiến đổ bộ với sức gió cấp 9-12,https://vnexpress.net/bao-yagi-du-kien-do-bo-voi-suc-gio-cap-9-12-4789442.html,0
Lũ cát cuốn trôi người đi đường ở Phan Thiết,https://vnexpress.net/lu-cat-cuon-troi-nguoi-di-duong-o-phan-thiet-4789498.html,0
'Có cơ sở quá tải vẫn cố giữ trẻ em để hút tài trợ',https://vnexpress.net/co-co-so-qua-tai-van-co-giu-tre-em-de-hut-tai-tro-4789460.html,0
Hội cựu Công an nhân dân gia nhập Mặt trận Tổ quốc Việt Nam,https://vnexpress.net/hoi-cuu-cong-an-nhan-dan-gia-nhap-mat-tran-to-quoc-viet-nam-4789378.html,0
'Nhiều lần kiểm tra Mái ấm Hoa Hồng nhưng không phát hiện bạo hành trẻ',https://vnexpress.net/nhieu-lan-kiem-tra-mai-am-hoa-hong-nhung-khong-phat-hien-bao-hanh-tre-4789427.html,0
Xe chở hành lý va chạm máy bay tại Nội Bài,https://vnexpress.net/xe-cho-hanh-ly-va-cham-may-bay-tai-noi-bai-4789410.html,0
Bí thư Thanh Hóa làm Phó ban Tổ chức Trung ương,https://vnexpress.net/bi-thu-thanh-hoa-lam-pho-ban-to-chuc-trung-uong-4789418.html,0
Sạt taluy làm hư hỏng nhà ở Đà Lạt,https://vnexpress.net/sat-lo-da-lat-4789330.html,0
Đề xuất lưu dữ liệu kiểm định khí thải xe máy trong 36 tháng,https://vnexpress.net/de-xuat-luu-du-lieu-kiem-dinh-khi-thai-xe-may-trong-36-thang-4789264.html,0
"Chuyển đổi vị trí hơn 86.000 công chức, viên chức để ngừa tham nhũng",https://vnexpress.net/chuyen-doi-vi-tri-hon-86-000-cong-chuc-vien-chuc-de-ngua-tham-nhung-4789192.html,0
Cao tốc TP HCM - Long Thành ùn ứ kéo dài khi sửa cầu,https://vnexpress.net/cao-toc-tp-hcm-long-thanh-un-u-keo-dai-khi-sua-cau-4789302.html,0
Yagi mạnh lên thành siêu bão,https://vnexpress.net/yagi-manh-len-thanh-sieu-bao-4789195.html,0
Bé 5 tuổi tử vong nghi bị bạo hành,https://vnexpress.net/be-5-tuoi-tu-vong-nghi-bi-bao-hanh-4789240.html,0
Chim quý về hồ sông Đầm sau bốn năm vắng bóng,https://vnexpress.net/chim-quy-ve-ho-song-dam-sau-bon-nam-vang-bong-4789190.html,0
"Ôtô đấu đầu xe máy, hai người tử vong",https://vnexpress.net/oto-dau-dau-xe-may-hai-nguoi-tu-vong-4789232.html,0
Bão Yagi mạnh lên cấp 15,https://vnexpress.net/bao-yagi-manh-len-cap-15-4789136.html,0
"Âu thuyền, hồ điều hòa chống ngập cho trung tâm Cần Thơ",https://vnexpress.net/au-thuyen-ho-dieu-hoa-chong-ngap-cho-trung-tam-can-tho-4788173.html,0
Từ tay trắng thành 'vua chè' đất Anh Sơn,https://vnexpress.net/tu-tay-trang-thanh-vua-che-dat-anh-son-4788644.html,0
Quận Hà Đông dự kiến làm 4 quảng trường,https://vnexpress.net/quan-ha-dong-du-kien-lam-4-quang-truong-4789111.html,0
Cựu giám đốc CDC Bình Dương được phục hồi Đảng,https://vnexpress.net/cuu-giam-doc-cdc-binh-duong-duoc-phuc-hoi-dang-4789123.html,0
Người phụ nữ bị nhánh cây rơi trúng tử vong,https://vnexpress.net/nguoi-phu-nu-bi-nhanh-cay-roi-trung-tu-vong-4789118.html,0
Vùng đảo hối hả ứng phó với bão Yagi,https://vnexpress.net/vung-dao-hoi-ha-ung-pho-voi-bao-yagi-4789089.html,0
